iter	Passed	Remaining
579	36921	11076
580	36982	11012
581	37042	10947
582	37105	10883
583	37161	10817
584	37228	10754
585	37292	10691
586	37355	10627
587	37428	10566
588	37498	10504
589	37543	10435
590	37616	10374
591	37680	10311
592	37746	10248
593	37812	10185
594	37873	10120
595	37938	10057
596	38008	9995
597	38072	9932
598	38142	9870
599	38204	9805
600	38271	9742
601	38332	9678
602	38395	9614
603	38460	9551
604	38517	9486
605	38581	9422
606	38658	9362
607	38719	9297
608	38791	9236
609	38851	9171
610	38909	9106
611	38966	9041
612	39024	8976
613	39092	8913
614	39150	8848
615	39216	8785
616	39267	8718
617	39335	8656
618	39390	8590
619	39453	8527
620	39505	8461
621	39571	8397
622	39640	8335
623	39711	8273
624	39775	8209
625	39842	8146
626	39907	8083
627	39972	8019
628	40031	7955
629	40094	7891
630	40160	7828
631	40213	7762
632	40283	7700
633	40351	7637
634	40412	7573
635	40489	7512
636	40561	7450
637	40631	7387
638	40692	7323
639	40765	7261
640	40835	7198
641	40897	7134
642	40964	7071
643	41038	7009
644	41096	6945
645	41146	6879
646	41214	6815
647	41262	6749
648	41324	6685
649	41396	6623
650	41463	6560
651	41531	6497
652	41597	6433
653	41647	6368
654	41697	6302
655	41770	6240
656	41839	6177
657	41904	6113
658	41965	6049
659	42017	5984
660	42083	5920
661	42154	5858
662	42222	5795
663	42289	5732
664	42351	5668
665	42413	5604
666	42482	5541
667	42552	5478
668	42621	5415
669	42684	5351
670	42749	5287
671	42808	5223
672	42879	5160
673	42942	5097
674	43013	5034
675	43080	4970
676	43157	4908
677	43218	4844
678	43279	4780
679	43340	4716
680	43407	4653
681	43472	4589
682	43535	4525
683	43598	4461
684	43648	4396
685	43713	4333
686	43774	4269
687	43839	4205
688	43911	4142
689	43965	4077
690	44032	4014
691	44110	3952
692	44242	3894
693	44347	3834
694	44410	3770
695	44480	3706
696	44547	3643
697	44615	3579
698	44684	3515
699	44774	3454
700	44834	3389
701	44907	3326
702	44965	3262
703	45033	3198
704	45098	3134
705	45176	3071
706	45228	3006
707	45297	2943
708	45362	2879
709	45426	2815
710	45495	2751
711	45566	2687
712	45630	2623
713	45694	2559
714	45760	2496
715	45830	2432
716	45889	2368
717	45952	2304
718	46016	2240
719	46085	2176
720	46157	2112
721	46224	2048
722	46297	1985
723	46368	1921
724	46444	1857
725	46503	1793
726	46575	1729
727	46651	1666
728	46726	1602
729	46789	1538
730	46851	1474
731	46916	1410
732	46977	1345
733	47049	1282
734	47114	1217
735	47171	1153
736	47221	1089
737	47288	1025
738	47359	961
739	47421	897
740	47479	832
741	47541	768
742	47594	704
743	47655	640
744	47721	576
745	47788	512
746	47857	448
747	47926	384
748	47992	320
749	48047	256
750	48118	192
751	48224	128
752	48292	64
753	48362	0
